Date,Site,Transect,Round,Long_Station,Size_class_mm,Category_total
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,22.6,1
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,16,6
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,11.3,3
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,8,2
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,5.6,2
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,4,1
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,2.8,1
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,2,0
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,1.9,29
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,256,35
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,180,4
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,128,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,90,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,64,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,45,3
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,32,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,22.6,3
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,16,2
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,11.3,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,8,4
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,5.6,4
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,4,2
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,2.8,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,2,0
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,1.9,37
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,256,36
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,180,4
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,128,2
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,90,3
